locus_tag	ftype	length_bp	gene	EC_number	COG	product
GPFNFPML_00033	CDS	747	frdB_1	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
GPFNFPML_00034	CDS	1311				hypothetical protein
GPFNFPML_00035	CDS	489		1.5.1.37		Flavin reductase
GPFNFPML_00036	CDS	1836		1.3.8.1	COG1960	Butyryl-CoA dehydrogenase
GPFNFPML_00037	CDS	1323	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
GPFNFPML_00038	CDS	1365	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
GPFNFPML_00039	CDS	843				hypothetical protein
GPFNFPML_00040	CDS	438		3.1.-.-	COG1848	Ribonuclease VapC24
GPFNFPML_00041	CDS	234				hypothetical protein
GPFNFPML_00042	CDS	567	betI_1			HTH-type transcriptional regulator BetI
GPFNFPML_00043	CDS	1167	lpqI	3.2.1.52	COG1472	Beta-hexosaminidase LpqI
GPFNFPML_00044	CDS	174				Putative secreted protein.1
GPFNFPML_00045	CDS	4203	aftD	2.4.2.47		Alpha-(1->3)-arabinofuranosyltransferase
GPFNFPML_00046	CDS	1449				hypothetical protein
GPFNFPML_00047	CDS	1374	gabD1	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] 1
GPFNFPML_00048	CDS	690	betI_2			HTH-type transcriptional regulator BetI
GPFNFPML_00049	CDS	1707				hypothetical protein
GPFNFPML_00050	CDS	981	php		COG1735	Phosphotriesterase homology protein
GPFNFPML_00051	CDS	195				Putative antitoxin VapB51
GPFNFPML_00052	CDS	414		3.1.-.-	COG1487	Ribonuclease VapC51
GPFNFPML_00053	CDS	1299				hypothetical protein
GPFNFPML_00054	CDS	1281	porA			Porin PorA
GPFNFPML_00055	CDS	1731				hypothetical protein
GPFNFPML_00056	CDS	1155	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
GPFNFPML_00057	CDS	765		2.1.1.-		putative methyltransferase
GPFNFPML_00058	CDS	1464	geoB	1.2.1.86		Geranial dehydrogenase
GPFNFPML_00059	CDS	789	caiD_1	4.2.1.149		Carnitinyl-CoA dehydratase
GPFNFPML_00060	CDS	1410		2.3.1.20		Putative diacyglycerol O-acyltransferase
GPFNFPML_00061	CDS	1212				hypothetical protein
GPFNFPML_00062	CDS	549				hypothetical protein
GPFNFPML_00063	CDS	1329	msrP_1	1.8.5.-		Protein-methionine-sulfoxide reductase catalytic subunit MsrP
GPFNFPML_00064	CDS	909	aes_1	3.1.1.-		Acetyl esterase
GPFNFPML_00065	CDS	1014	mch	4.2.1.148	COG2030	Beta-methylmalyl-CoA dehydratase
GPFNFPML_00066	CDS	1074	mcd	1.3.8.12	COG1960	(2S)-methylsuccinyl-CoA dehydrogenase
GPFNFPML_00067	CDS	1518		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
GPFNFPML_00068	CDS	1317				hypothetical protein
GPFNFPML_00069	CDS	972	nadR		COG1056	Trifunctional NAD biosynthesis/regulator protein NadR
GPFNFPML_00070	CDS	1821	pckG	4.1.1.32	COG1274	Phosphoenolpyruvate carboxykinase [GTP]
GPFNFPML_00071	CDS	1479				hypothetical protein
GPFNFPML_00072	CDS	1086				hypothetical protein
GPFNFPML_00073	CDS	594	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
GPFNFPML_00074	CDS	735				hypothetical protein
GPFNFPML_00075	CDS	2835	mmpL3_1		COG2409	Trehalose monomycolate exporter MmpL3
GPFNFPML_00076	CDS	1104			COG0628	Putative transport protein
GPFNFPML_00077	CDS	1284				hypothetical protein
GPFNFPML_00078	CDS	411				Heme-binding protein
GPFNFPML_00079	CDS	2898			COG2409	Heme uptake protein MmpL11
GPFNFPML_00080	CDS	504				hypothetical protein
GPFNFPML_00081	CDS	690				hypothetical protein
GPFNFPML_00082	CDS	660				hypothetical protein
GPFNFPML_00083	CDS	1992	pepO	3.4.24.-	COG3590	Neutral endopeptidase
GPFNFPML_00084	CDS	2247	napA	1.9.6.1		Periplasmic nitrate reductase
GPFNFPML_00085	CDS	585			COG1309	putative HTH-type transcriptional regulator
GPFNFPML_00086	CDS	768				hypothetical protein
GPFNFPML_00087	CDS	3585		3.6.3.-	COG1132	Multidrug efflux ATP-binding/permease protein
GPFNFPML_00088	CDS	120				hypothetical protein
GPFNFPML_00089	CDS	1848				hypothetical protein
GPFNFPML_00090	CDS	1101		2.3.2.-	COG1376	L,D-transpeptidase 4
GPFNFPML_00091	CDS	1242			COG2814	Chloramphenicol efflux pump
GPFNFPML_00092	CDS	291	ricR_1		COG1937	Copper-sensing transcriptional repressor RicR
GPFNFPML_00093	CDS	1728	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
GPFNFPML_00094	CDS	432				hypothetical protein
GPFNFPML_00095	CDS	183		2.1.1.6	COG4122	Catechol O-methyltransferase
GPFNFPML_00096	CDS	477		2.1.1.6	COG4122	Catechol O-methyltransferase
GPFNFPML_00097	CDS	147	mymT			Metallothionein
GPFNFPML_00098	CDS	2076	bglB	3.2.1.21	COG1472	Thermostable beta-glucosidase B
GPFNFPML_00099	CDS	510				hypothetical protein
GPFNFPML_00100	CDS	750				hypothetical protein
GPFNFPML_00101	CDS	897		3.1.1.23	COG2267	Monoacylglycerol lipase
GPFNFPML_00102	CDS	999	sigG		COG1595	ECF RNA polymerase sigma factor SigG
GPFNFPML_00103	CDS	735		1.13.11.24	COG1741	Putative quercetin 2,3-dioxygenase
GPFNFPML_00104	CDS	1281				hypothetical protein
GPFNFPML_00105	CDS	1110				hypothetical protein
GPFNFPML_00106	CDS	735				hypothetical protein
GPFNFPML_00107	CDS	555				hypothetical protein
GPFNFPML_00108	CDS	969				hypothetical protein
GPFNFPML_00109	CDS	708				hypothetical protein
GPFNFPML_00110	CDS	1548				hypothetical protein
GPFNFPML_00111	CDS	1173	lprN_1			Lipoprotein LprN
GPFNFPML_00112	CDS	1593				hypothetical protein
GPFNFPML_00113	CDS	1548				hypothetical protein
GPFNFPML_00114	CDS	1041				hypothetical protein
GPFNFPML_00115	CDS	1365				hypothetical protein
GPFNFPML_00116	CDS	870				hypothetical protein
GPFNFPML_00117	CDS	798				hypothetical protein
GPFNFPML_00118	CDS	1665		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
GPFNFPML_00119	CDS	672				hypothetical protein
GPFNFPML_00120	CDS	441				hypothetical protein
GPFNFPML_00121	CDS	456				hypothetical protein
GPFNFPML_00122	CDS	1119	adhB_1	1.1.1.1	COG1062	Alcohol dehydrogenase B
GPFNFPML_00123	CDS	1374		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
GPFNFPML_00124	CDS	1509	PE3_1			PE family protein PE3
GPFNFPML_00125	CDS	1407	PE3_2			PE family protein PE3
GPFNFPML_00126	CDS	645	kstR2_1			HTH-type transcriptional repressor KstR2
GPFNFPML_00127	CDS	126				hypothetical protein
GPFNFPML_00128	CDS	1428	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
GPFNFPML_00129	CDS	333				hypothetical protein
GPFNFPML_00130	CDS	1101	pntAA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha part 1
GPFNFPML_00131	CDS	1212	caiA_1	1.3.8.13		Crotonobetainyl-CoA reductase
GPFNFPML_00132	CDS	831				hypothetical protein
GPFNFPML_00133	CDS	225				putative PE-PGRS family protein PE_PGRS24
GPFNFPML_00134	CDS	1473				hypothetical protein
GPFNFPML_00135	CDS	1767				hypothetical protein
GPFNFPML_00136	CDS	288				hypothetical protein
GPFNFPML_00137	CDS	969		1.3.1.103		2-haloacrylate reductase
GPFNFPML_00138	CDS	861		1.1.1.-	COG1028	Putative short-chain type dehydrogenase/reductase
GPFNFPML_00139	CDS	1473	aldH1	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
GPFNFPML_00140	CDS	933		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
GPFNFPML_00141	CDS	954		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
GPFNFPML_00142	CDS	843	betI_3			HTH-type transcriptional regulator BetI
GPFNFPML_00143	CDS	1479	clcB			Voltage-gated ClC-type chloride channel ClcB
GPFNFPML_00144	CDS	927				hypothetical protein
GPFNFPML_00145	CDS	411				hypothetical protein
GPFNFPML_00146	CDS	381				hypothetical protein
GPFNFPML_00147	CDS	1023	auaH	1.1.1.394		Aurachin B dehydrogenase
GPFNFPML_00148	CDS	504				hypothetical protein
GPFNFPML_00149	CDS	549	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
GPFNFPML_00150	CDS	1326		1.14.-.-	COG2124	Putative cytochrome P450 138
GPFNFPML_00151	CDS	606				hypothetical protein
GPFNFPML_00152	CDS	903		3.3.2.10		Soluble epoxide hydrolase
GPFNFPML_00153	CDS	606				hypothetical protein
GPFNFPML_00154	CDS	1083	fgd2	1.1.98.-	COG2141	F420-dependent hydroxymycolic acid dehydrogenase
GPFNFPML_00155	CDS	1344	bbsG	1.3.8.3		(R)-benzylsuccinyl-CoA dehydrogenase
GPFNFPML_00156	CDS	456		4.2.1.17	COG2030	putative enoyl-CoA hydratase 1
GPFNFPML_00157	CDS	1023	fbpC	2.3.1.122	COG0627	Diacylglycerol acyltransferase/mycolyltransferase Ag85C
GPFNFPML_00158	CDS	780				hypothetical protein
GPFNFPML_00159	CDS	1368	mak	2.7.1.175		Maltokinase
GPFNFPML_00160	CDS	1806	treS	3.2.1.1	COG0366	Trehalose synthase/amylase TreS
GPFNFPML_00161	CDS	1068				hypothetical protein
GPFNFPML_00162	CDS	1380				hypothetical protein
GPFNFPML_00163	CDS	369				hypothetical protein
GPFNFPML_00164	CDS	183				hypothetical protein
GPFNFPML_00165	CDS	435				hypothetical protein
GPFNFPML_00166	CDS	2145			COG0480	Elongation factor G-like protein
GPFNFPML_00167	CDS	1629	sauT	6.2.1.-	COG0318	putative sulfoacetate--CoA ligase
GPFNFPML_00168	CDS	1749	oxc	4.1.1.8	COG0028	Oxalyl-CoA decarboxylase
GPFNFPML_00169	CDS	945	oxyR			putative hydrogen peroxide-inducible genes activator
GPFNFPML_00170	CDS	756	ldtA	2.3.2.-	COG1376	L,D-transpeptidase 1
GPFNFPML_00171	CDS	189				hypothetical protein
GPFNFPML_00172	CDS	1161	hddA	2.7.1.168		D-glycero-alpha-D-manno-heptose 7-phosphate kinase
GPFNFPML_00173	CDS	573	hisB_1	3.1.3.15		Histidine biosynthesis bifunctional protein HisB
GPFNFPML_00174	CDS	624	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
GPFNFPML_00175	CDS	957	rmd	1.1.1.281		GDP-6-deoxy-D-mannose reductase
GPFNFPML_00176	CDS	2058				hypothetical protein
GPFNFPML_00177	CDS	855	glpG	3.4.21.105		Rhomboid protease GlpG
GPFNFPML_00178	CDS	1491				hypothetical protein
GPFNFPML_00179	CDS	243				hypothetical protein
GPFNFPML_00180	CDS	4878	ctpI_1	3.6.3.-	COG0474	putative cation-transporting ATPase I
GPFNFPML_00181	CDS	1197			COG0523	putative protein
GPFNFPML_00182	CDS	285				hypothetical protein
GPFNFPML_00183	CDS	1515				hypothetical protein
GPFNFPML_00184	CDS	2259	ctpB	3.6.3.-	COG2217	Cation-transporting P-type ATPase B
GPFNFPML_00185	CDS	1923			COG3336	putative protein
GPFNFPML_00186	CDS	7539	dltA	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
GPFNFPML_00187	CDS	249				putative protein
GPFNFPML_00188	CDS	1599		6.2.1.-	COG0318	Putative fatty-acid--CoA ligase FadD10
GPFNFPML_00189	CDS	552				putative protein
GPFNFPML_00190	CDS	870		1.-.-.-	COG2175	Putative dioxygenase
GPFNFPML_00191	CDS	1392				hypothetical protein
GPFNFPML_00192	CDS	366				putative protein
GPFNFPML_00193	CDS	1290	aspC_1	2.6.1.1	COG0436	putative aspartate aminotransferase
GPFNFPML_00194	CDS	2649	lutA			Lactate utilization protein A
GPFNFPML_00195	CDS	2451				hypothetical protein
GPFNFPML_00196	CDS	540				hypothetical protein
GPFNFPML_00197	CDS	1440	iniB			Isoniazid-induced protein IniB
GPFNFPML_00198	CDS	1923	iniA		COG0699	Isoniazid-induced protein IniA
GPFNFPML_00199	CDS	1482	iniC		COG0699	Isoniazid-induced protein IniC
GPFNFPML_00200	CDS	561				hypothetical protein
GPFNFPML_00201	CDS	417				hypothetical protein
GPFNFPML_00202	CDS	1464	ansP2		COG1113	L-asparagine permease 2
GPFNFPML_00203	CDS	813				hypothetical protein
GPFNFPML_00204	CDS	654				hypothetical protein
GPFNFPML_00205	CDS	660				hypothetical protein
GPFNFPML_00206	CDS	1878	dnaK_1		COG0443	Chaperone protein DnaK
GPFNFPML_00207	CDS	708	grpE		COG0576	Protein GrpE
GPFNFPML_00208	CDS	1188	dnaJ1		COG0484	Chaperone protein DnaJ 1
GPFNFPML_00209	CDS	381	hspR		COG0789	Putative heat shock protein HspR
GPFNFPML_00210	CDS	552				hypothetical protein
GPFNFPML_00211	CDS	9888				hypothetical protein
GPFNFPML_00212	CDS	645				hypothetical protein
GPFNFPML_00213	CDS	1299	purA_1	6.3.4.4	COG0104	Adenylosuccinate synthetase
GPFNFPML_00214	CDS	648				hypothetical protein
GPFNFPML_00215	CDS	780	rip2		COG1994	Putative zinc metalloprotease Rip2
GPFNFPML_00216	CDS	438				hypothetical protein
GPFNFPML_00217	CDS	828				hypothetical protein
GPFNFPML_00218	CDS	1383			COG2239	Magnesium transporter MgtE
GPFNFPML_00219	CDS	1035	fba	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
GPFNFPML_00220	CDS	684			COG0586	putative membrane protein
GPFNFPML_00221	CDS	1131				hypothetical protein
GPFNFPML_00222	CDS	594				hypothetical protein
GPFNFPML_00223	CDS	390				hypothetical protein
GPFNFPML_00224	CDS	1221				hypothetical protein
GPFNFPML_00225	CDS	603				hypothetical protein
GPFNFPML_00226	CDS	897				hypothetical protein
GPFNFPML_00227	CDS	594	pucB		COG2068	Purine catabolism protein PucB
GPFNFPML_00228	CDS	756				hypothetical protein
GPFNFPML_00229	CDS	2400	cutL	1.2.5.3		Carbon monoxide dehydrogenase large chain
GPFNFPML_00230	CDS	480	coxS	1.2.5.3		Carbon monoxide dehydrogenase small chain
GPFNFPML_00231	CDS	903	cutM	1.2.5.3		Carbon monoxide dehydrogenase medium chain
GPFNFPML_00232	CDS	1143	pucA	1.17.1.4	COG1975	putative xanthine dehydrogenase subunit A
GPFNFPML_00233	CDS	294				hypothetical protein
GPFNFPML_00234	CDS	696			COG0583	putative HTH-type transcriptional regulator
GPFNFPML_00235	CDS	225				hypothetical protein
GPFNFPML_00236	CDS	216	secE2		COG3360	Calcium dodecin
GPFNFPML_00237	CDS	651	trmH	2.1.1.34		tRNA (guanosine(18)-2'-O)-methyltransferase
GPFNFPML_00238	CDS	909				hypothetical protein
GPFNFPML_00239	CDS	540	pyrE_1	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
GPFNFPML_00240	CDS	855				hypothetical protein
GPFNFPML_00241	CDS	2547	clpB		COG0542	Chaperone protein ClpB
GPFNFPML_00242	CDS	1278	hmp_1	1.14.12.17		Flavohemoprotein
GPFNFPML_00243	CDS	3258			COG2771	Putative HTH-type transcriptional regulator
GPFNFPML_00244	CDS	1332				putative PPE family protein PPE32
GPFNFPML_00245	CDS	1260	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
GPFNFPML_00246	CDS	423	glpE_1	2.8.1.1		Thiosulfate sulfurtransferase GlpE
GPFNFPML_00247	CDS	1221	metZ	2.5.1.-	COG0626	O-succinylhomoserine sulfhydrylase
GPFNFPML_00248	CDS	1413	norW_1	1.18.1.-		Nitric oxide reductase FlRd-NAD(+) reductase
GPFNFPML_00249	CDS	192				hypothetical protein
GPFNFPML_00250	CDS	987				hypothetical protein
GPFNFPML_00251	CDS	720				hypothetical protein
GPFNFPML_00252	CDS	405				hypothetical protein
GPFNFPML_00253	CDS	417				hypothetical protein
GPFNFPML_00254	CDS	369				hypothetical protein
GPFNFPML_00255	CDS	642				hypothetical protein
GPFNFPML_00256	CDS	1230	dap_1	3.4.11.19		D-aminopeptidase
GPFNFPML_00257	CDS	1188	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
GPFNFPML_00258	CDS	372				hypothetical protein
GPFNFPML_00259	CDS	2877	mmpL1		COG2409	putative transport protein MmpL1
GPFNFPML_00260	CDS	429	mmpS4_1			Siderophore export accessory protein MmpS4
GPFNFPML_00261	CDS	1758		6.2.1.-	COG0318	Long-chain-fatty-acid--AMP ligase FadD30
GPFNFPML_00262	CDS	4209				hypothetical protein
GPFNFPML_00263	CDS	819	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
GPFNFPML_00264	CDS	1011	fgd1_1	1.1.98.2	COG2141	F420-dependent glucose-6-phosphate dehydrogenase
GPFNFPML_00265	CDS	2073	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
GPFNFPML_00266	CDS	1158	ackA	2.7.2.1	COG0282	Acetate kinase
GPFNFPML_00267	CDS	2253	pknG	2.7.11.1	COG0515	Serine/threonine-protein kinase PknG
GPFNFPML_00268	CDS	987	mltF	4.2.2.-		Membrane-bound lytic murein transglycosylase F
GPFNFPML_00269	CDS	1320				hypothetical protein
GPFNFPML_00270	CDS	621	mutT3	3.6.1.55	COG0494	Putative 8-oxo-dGTP diphosphatase 3
GPFNFPML_00271	CDS	669	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
GPFNFPML_00272	CDS	1023	thiO	1.4.3.19	COG0665	Glycine oxidase
GPFNFPML_00273	CDS	207				hypothetical protein
GPFNFPML_00274	CDS	759	thiG	2.8.1.10	COG2022	Thiazole synthase
GPFNFPML_00275	CDS	1503	lpqL	3.4.11.1	COG2234	putative lipoprotein aminopeptidase LpqL
GPFNFPML_00276	CDS	1497				hypothetical protein
GPFNFPML_00277	CDS	342				hypothetical protein
GPFNFPML_00278	CDS	630				hypothetical protein
GPFNFPML_00279	CDS	828	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
GPFNFPML_00280	CDS	1644	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
GPFNFPML_00281	CDS	276				hypothetical protein
GPFNFPML_00282	CDS	4620	ctpI_2	3.6.3.-	COG0474	putative cation-transporting ATPase I
GPFNFPML_00283	CDS	444				hypothetical protein
GPFNFPML_00284	CDS	876	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
GPFNFPML_00285	CDS	909				hypothetical protein
GPFNFPML_00286	CDS	594	def	3.5.1.88	COG0242	Peptide deformylase
GPFNFPML_00287	CDS	309				hypothetical protein
GPFNFPML_00288	CDS	495				hypothetical protein
GPFNFPML_00289	CDS	723	sodC	1.15.1.1	COG2032	Superoxide dismutase [Cu-Zn]
GPFNFPML_00290	CDS	1152		6.3.2.2	COG2170	Putative glutamate--cysteine ligase 2
GPFNFPML_00291	CDS	654				hypothetical protein
GPFNFPML_00292	CDS	2187	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
GPFNFPML_00293	CDS	861				hypothetical protein
GPFNFPML_00294	CDS	696	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
GPFNFPML_00295	CDS	1179	moaE2_1	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase 2
GPFNFPML_00296	CDS	936				hypothetical protein
GPFNFPML_00297	CDS	1623	groEL2		COG0459	60 kDa chaperonin 2
GPFNFPML_00298	CDS	429				putative protein
GPFNFPML_00299	CDS	1413				putative PPE family protein PPE10
GPFNFPML_00300	CDS	558				hypothetical protein
GPFNFPML_00301	CDS	699	rskA			Anti-sigma-K factor RskA
GPFNFPML_00302	CDS	564	sigK		COG1595	ECF RNA polymerase sigma factor SigK
GPFNFPML_00303	CDS	783				hypothetical protein
GPFNFPML_00304	CDS	1284	ufaA1	2.1.1.-	COG2230	Tuberculostearic acid methyltransferase UfaA1
GPFNFPML_00305	CDS	732				hypothetical protein
GPFNFPML_00306	CDS	1296				hypothetical protein
GPFNFPML_00307	CDS	2904	mmpL4		COG2409	Siderophore exporter MmpL4
GPFNFPML_00308	CDS	417	mmpS4_2			Siderophore export accessory protein MmpS4
GPFNFPML_00309	CDS	762				hypothetical protein
GPFNFPML_00310	CDS	1557				putative PPE family protein PPE20
GPFNFPML_00311	CDS	324				hypothetical protein
GPFNFPML_00312	CDS	231				hypothetical protein
GPFNFPML_00313	CDS	447				hypothetical protein
GPFNFPML_00314	CDS	915				Putative enoyl-CoA hydratase EchA13
GPFNFPML_00315	CDS	2031				hypothetical protein
GPFNFPML_00316	CDS	1524		1.2.1.3	COG1012	putative aldehyde dehydrogenase
GPFNFPML_00317	CDS	492				hypothetical protein
GPFNFPML_00318	CDS	279				hypothetical protein
GPFNFPML_00319	CDS	570				hypothetical protein
GPFNFPML_00320	CDS	1395	lpdC	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
GPFNFPML_00321	CDS	294				hypothetical protein
GPFNFPML_00322	CDS	573				hypothetical protein
GPFNFPML_00323	CDS	1425	ramB		COG1396	HTH-type transcriptional regulator RamB
GPFNFPML_00324	CDS	795			COG3884	putative protein
GPFNFPML_00325	CDS	1287	icl	4.1.3.1	COG2224	Isocitrate lyase
GPFNFPML_00326	CDS	861	fadB2	1.1.1.157	COG1250	3-hydroxybutyryl-CoA dehydrogenase
GPFNFPML_00327	CDS	861	umaA	2.1.1.-	COG2230	S-adenosylmethionine-dependent methyltransferase UmaA
GPFNFPML_00328	CDS	864	pcaA	2.1.1.79	COG2230	Cyclopropane mycolic acid synthase 3
GPFNFPML_00329	CDS	285				hypothetical protein
GPFNFPML_00330	CDS	489	menA_1	2.5.1.74		1,4-dihydroxy-2-naphthoate octaprenyltransferase
GPFNFPML_00331	CDS	771				putative HTH-type transcriptional regulator
GPFNFPML_00332	CDS	1371				hypothetical protein
GPFNFPML_00333	CDS	423			COG1396	putative HTH-type transcriptional regulator
GPFNFPML_00334	CDS	618	hbhA			Heparin-binding hemagglutinin
GPFNFPML_00335	CDS	264				hypothetical protein
GPFNFPML_00336	CDS	447				putative protein
GPFNFPML_00337	CDS	675	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
GPFNFPML_00338	CDS	1047				putative protein
GPFNFPML_00339	CDS	843		3.5.-.-	COG0388	Hydrolase
GPFNFPML_00340	CDS	525				putative protein
GPFNFPML_00341	CDS	1110	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
GPFNFPML_00342	CDS	1356	lprQ	2.3.2.-	COG1376	L,D-transpeptidase 5
GPFNFPML_00343	CDS	756		1.-.-.-	COG4221	putative oxidoreductase
GPFNFPML_00344	CDS	1317			COG1940	Transcriptional regulator
GPFNFPML_00345	CDS	951	mshA_2	2.4.1.250	COG0438	D-inositol 3-phosphate glycosyltransferase
GPFNFPML_00346	CDS	642	mshA_3	2.4.1.250	COG0438	D-inositol 3-phosphate glycosyltransferase
GPFNFPML_00347	CDS	552				putative protein
GPFNFPML_00348	CDS	627	argO_1		COG1279	Arginine exporter protein ArgO
GPFNFPML_00349	CDS	771	gpmA	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
GPFNFPML_00350	CDS	1233	senX3	2.7.13.3		Sensor-like histidine kinase senX3
GPFNFPML_00351	CDS	684	regX3		COG0745	Sensory transduction protein regX3
GPFNFPML_00352	CDS	1890		1.1.-.-	COG2303	putative GMC-type oxidoreductase
GPFNFPML_00353	CDS	330				hypothetical protein
GPFNFPML_00354	CDS	951				putative protein
GPFNFPML_00355	CDS	717			COG2186	putative HTH-type transcriptional regulator
GPFNFPML_00356	CDS	771				putative protein
GPFNFPML_00357	CDS	1035	ppx1	3.6.1.11	COG0248	Exopolyphosphatase 1
GPFNFPML_00358	CDS	933				putative protein
GPFNFPML_00359	CDS	843			COG1082	putative protein
GPFNFPML_00360	CDS	876				putative protein
GPFNFPML_00361	CDS	888	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
GPFNFPML_00362	CDS	237				Putative DNA-binding proteinA
GPFNFPML_00363	CDS	102				hypothetical protein
GPFNFPML_00364	CDS	1131			COG0451	putative protein
GPFNFPML_00365	CDS	1077			COG0204	putative protein
GPFNFPML_00366	CDS	909	cmaA2	2.1.1.79	COG2230	Cyclopropane mycolic acid synthase 2
GPFNFPML_00367	CDS	501				hypothetical protein
GPFNFPML_00368	CDS	924	serB1	3.1.3.3	COG0560	Phosphoserine phosphatase SerB1
GPFNFPML_00369	CDS	438	mmpS2			putative transport accessory protein MmpS2
GPFNFPML_00370	CDS	2907	mmpL2_1		COG2409	putative transport protein MmpL2
GPFNFPML_00371	CDS	279			COG0526	putative protein
GPFNFPML_00372	CDS	1407	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
GPFNFPML_00373	CDS	930	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
GPFNFPML_00374	CDS	1698	cysG_1	4.99.1.4		Siroheme synthase
GPFNFPML_00375	CDS	933	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
